Winner_Rank,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Rank,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won,Player1Wins
23,1.157894737,11.26315789,4.473684211,4.631578947,27.52631579,43,14.68421053,32.84210526,4,9.315789474,32.42105263,74.15789474,74.63157895,117,1.375,12,1.5,2.375,30.25,48.25,9.875,21.625,4.625,8.25,31.25,67,71.375,0
16,1.526315789,11.64912281,0.803571429,1.75,31.05263158,52.07017544,9.614035088,20.15789474,4.771929825,9.631578947,34.10526316,71.64912281,74.77192982,81,1.090909091,10,1.909090909,3.909090909,26.36363636,40,11.45454545,28.72727273,3.272727273,7.545454545,27.27272727,65.45454545,65.09090909,1
89,0.75,9.75,5.75,4.75,28.5,43.25,11.75,27.375,2.75,7.125,25.875,65.625,66.125,38,1.111111111,9.555555556,0.37037037,1.666666667,26.44444444,47.81481481,8.259259259,16.59259259,3.888888889,8.407407407,29.18518519,62.48148148,63.88888889,0
175,0.75,8.25,2.75,3,25,42.75,13.5,28,1.5,5.5,20.75,63,59.25,54,1.024793388,10.10743802,2.669421488,3.983471074,25.6446281,40.66115702,13.14876033,29.49586777,3.520661157,7.776859504,29.45454545,69.30578512,68.27272727,0
30,1.243902439,10.97560976,2.292682927,3.292682927,27.80487805,44.51219512,11.63414634,24.85365854,3.829268293,8.951219512,32.63414634,73.65853659,72.07317073,18,1.236363636,10.71818182,4.509090909,2.381818182,25.52727273,37.41818182,13.3,28.40909091,3.372727273,7.072727273,28.39090909,66.7,67.28181818,0
52,1.29787234,11.29787234,4.893617021,2.361702128,25.63829787,37.17021277,14.80851064,30.89361702,3.574468085,7.489361702,30.10638298,70.46808511,70.55319149,34,1.018181818,10.00909091,1.321100917,2.073394495,27.14545455,46.36363636,10.37272727,22.93636364,3.718181818,7.4,30.11818182,67.83636364,67.63636364,1
49,1.2,10.66666667,2.662921348,2.4,27.33333333,43.32222222,11.8,25.54444444,3.588888889,7.477777778,29.24444444,67.22222222,68.37777778,113,0.692307692,9.461538462,1.538461538,6.769230769,25.76923077,43.15384615,12.23076923,31.30769231,3.923076923,8.384615385,30,66.53846154,68,1
139,0.846153846,9.615384615,2.833333333,4.230769231,23.46153846,40.30769231,14.76923077,33.84615385,3.769230769,9.461538462,31.15384615,70,69.38461538,75,1.230769231,11.74358974,3.743589744,4.307692308,32.56410256,51.61538462,10.58974359,24.53846154,3.974358974,8.564102564,33.41025641,77.05128205,76.56410256,0
61,1.076923077,10.92307692,5.615384615,2.076923077,31.46153846,47.84615385,14.07692308,28.69230769,3.153846154,7.384615385,30.07692308,77.30769231,75.61538462,51,1.11627907,11.09302326,3.511627907,4.372093023,27.60465116,41.27906977,12.97674419,27.76744186,3.441860465,7.953488372,29.6744186,70.81395349,70.25581395,0
57,1.353535354,11.61,0.82,4.18,29.82,48.86,10.95,24.71,4.56,9.62,33.51,72.12,74.28,91,0.954545455,9.363636364,2.545454545,4.181818182,23.54545455,37.59090909,11.63636364,27.13636364,3.409090909,8.545454545,29.04545455,68.04545455,64.22727273,0
4,1.541666667,12.125,1.545454545,2.535714286,30.17261905,47.58333333,11.14880952,23.61309524,4.660714286,9.791666667,35.11904762,74.56547619,76.44047619,15,1.444444444,11.58641975,0.987341772,1.962732919,30.14197531,49.51851852,10.38271605,22.2962963,4.50617284,9.814814815,34.09876543,73.83950617,74.62345679,0
121,1.2,9.5,4.2,3.9,25.7,38.8,12.1,26.2,2.8,7.4,24.4,62.1,62.8,56,0.853658537,9.512195122,3.65,3.682926829,26.68292683,41.92682927,11.48780488,25.90243902,3,7.292682927,27.09756098,68.58536585,65.65853659,1
55,1.035211268,10.35915493,3.542253521,5.169014085,25.64084507,38.6971831,13.94366197,32.47183099,3.514084507,7.633802817,29.47183099,70.32394366,69.08450704,13,1.316037736,11.45283019,5.891509434,3.339622642,28.72641509,40.68396226,14.35849057,29.81603774,3.273584906,7.617924528,29.33490566,70.98584906,72.44811321,0
2,1.565217391,12.14130435,1.552486188,2.538043478,29.91304348,47.16847826,11.23369565,23.55434783,4.673913043,9.836956522,35.04347826,74.25,76.19021739,13,1.346153846,11.6025641,4.337662338,2.948717949,28.58974359,42.98717949,12.85897436,25.73076923,3.717948718,8.58974359,31.66666667,73.11538462,73.11538462,1
23,1.553719008,12.1322314,3.583333333,3.826446281,28.87603306,42.98347107,13.19008264,28.39669421,4.330578512,9.479338843,33.29752066,71.7768595,75.36363636,459,0,3.5,1.5,2.5,20.5,36,7.5,20.5,0,1,15.5,51,43.5,1
55,1.152173913,11.26086957,5.391304348,6.869565217,28.26086957,40.65217391,14.13043478,34.02173913,3.586956522,7.804347826,31.67391304,75.86956522,74.06521739,58,1.32,11.01714286,2.488505747,2.358381503,27.96571429,43.62285714,11.35428571,23.6,3.765714286,8.068571429,29.94285714,68.34857143,69.26285714,0
32,1.172413793,10.55172414,2.103448276,3.275862069,28.06896552,44.96551724,11.68965517,25.34482759,3.482758621,8.793103448,31.34482759,72,71.10344828,52,1.664233577,12.72262774,4.318518519,5.562043796,29.62043796,42.55474453,13.2189781,28.12408759,4.613138686,9.795620438,34.21167883,72.43065693,77.10948905,0
71,2,13,8,1,28,38,11,20,4,8,28,64,67,62,0,7,5,5,23,37,13,27,1,1,19,58,55,1
40,1.171428571,9.885714286,0.314285714,1.771428571,27.08571429,49.28571429,8.657142857,17.08571429,3.942857143,8.342857143,29.25714286,63.48571429,65,26,1.5,12.21428571,3.071428571,2.178571429,28.39285714,43.42857143,12.10714286,25.25,4.678571429,10.71428571,34.28571429,74.07142857,74.78571429,0
183,0.978494624,9.989247312,3.559139785,2.150537634,25.74193548,40.83870968,12.96774194,30.3655914,3.462365591,7.76344086,29.97849462,70.37634409,68.68817204,40,1.173611111,10.80555556,1.680555556,4.625,27.55555556,45.43055556,11.24305556,24.79166667,4.131944444,8.701388889,31.60416667,69.27083333,70.4375,0
257,1,7,0,2,19.5,30,6.5,15,2.5,6,22.5,52,48.5,57,1.179487179,10.05128205,0.783783784,2.692307692,25.87179487,41.71794872,10.38461538,24.23076923,3.666666667,8.076923077,29.97435897,67.74358974,66.23076923,0
53,1.126984127,11.49206349,3.677419355,3.555555556,29.50793651,46.44444444,14.46031746,32.66666667,4.111111111,8.111111111,31.71428571,73.26984127,75.68253968,38,1.292682927,11.5,1.2375,2.913580247,29.75609756,49.86585366,9.280487805,21.87804878,4.804878049,9.756097561,34.57317073,73.26829268,73.6097561,1
41,1.090909091,10.48128342,1.806451613,2.338709677,28.03743316,45.98395722,10.94117647,24.24064171,3.71657754,7.807486631,30.58823529,69.51336898,69.5828877,65,1.102941176,10.55147059,1.925925926,3.066176471,29.10294118,48.80147059,10.11029412,22.44117647,3.977941176,8.470588235,31.38235294,69.84558824,70.61764706,1
41,1.229508197,11.42622951,3.475409836,7.327868852,28.90163934,43.31147541,13.09836066,32.50819672,4.06557377,8.704918033,32.83606557,75.13114754,74.83606557,4,1.577464789,12.28169014,4.901408451,4.042253521,29.53521127,42.36619718,13.25352113,26.43661972,3.788732394,8.704225352,30.26760563,68.92957746,73.05633803,0
161,1.25,9.75,2.25,4,23,35.25,15.25,28,2.75,5,22.75,57,61,98,1.078651685,10.66292135,4.213483146,2.629213483,26.80898876,40.91011236,14.35955056,29.6741573,3.04494382,7.04494382,28.70786517,70.68539326,69.87640449,0
66,1.272727273,11.39393939,5.060606061,2.272727273,26.27272727,38.42424242,15.33333333,32.09090909,3.666666667,7.727272727,30.72727273,72.24242424,72.33333333,12,1.421428571,11.87943262,0.872340426,3.843971631,30.19858156,49.18439716,11.15602837,24.55319149,4.609929078,9.70212766,33.82269504,72.63829787,75.17730496,1
19,1.508196721,11.62295082,0.8,1.783333333,30.85245902,51.6557377,9.704918033,20.47540984,4.754098361,9.721311475,34.39344262,72.39344262,74.95081967,36,1.15,9.925,0.384615385,1.925,27.85,50.725,8.6,17.7,3.975,8.525,30.075,65.45,66.525,1
105,1.136612022,10.84699454,1.714285714,3.879781421,29.66666667,47.7431694,10.71584699,23.8852459,3.808743169,8.956284153,32.19672131,73.33333333,72.6010929,93,1.066225166,10.32450331,1.337748344,2.529801325,27.35099338,46.94701987,10.7218543,23.15231788,3.874172185,8.463576159,31.41721854,70.77483444,69.52980132,1
10,1.336448598,11.59813084,2.953271028,6.224299065,25.18691589,38.96261682,14.47663551,33.58878505,4.85046729,9.990654206,35.24299065,74.35514019,74.90654206,25,1.253456221,11.05529954,2.319444444,2.470046083,28.24884793,45.37327189,11.87096774,25.35483871,3.930875576,8.373271889,31.1797235,70.44700461,71.29953917,1
125,0.97,10.15,3.76,4.11,24.34,37.02,15.25,33.31,3.24,7.66,28.89,69.7,68.48,259,0.333333333,6.666666667,1,2.666666667,23.33333333,43.33333333,12,27.33333333,1.666666667,5.666666667,26,70,61.33333333,1
26,1.647058824,13.14705882,4.705882353,4.382352941,29.44117647,41.82352941,15.38235294,32.91176471,4.588235294,9.294117647,34.26470588,75.32352941,79.08823529,5,1.5,11.62,2.52,1.1,27.28,43.56,11,22.9,4.62,9.24,32.52,66.28,70.8,0
112,0.833333333,10,4,4.666666667,25.16666667,38.16666667,13.16666667,31,3.666666667,7.333333333,28.83333333,68.33333333,67.16666667,169,0.5,7,0,5.5,18,34.5,6,15,4,6.5,24,44,48,1
106,0.8125,8.875,4.6875,3.125,23.5,35.375,12.4375,28.6875,2.625,5.875,23.5625,59.875,59.5,29,1.388888889,12.55555556,4.865079365,3.793650794,33.22222222,47.18253968,13.42857143,27.75396825,3.420634921,8.150793651,32.41269841,78.5952381,79.06349206,0
49,0.965217391,9.365217391,2,2.260869565,24.06956522,39.77391304,11.68695652,24.96521739,3.243478261,7.556521739,27.72173913,64.64347826,63.48695652,700,1.387755102,11.52380952,1.551724138,2.714285714,28.34693878,46.01360544,11.08843537,23.46938776,4.476190476,9.619047619,34.12244898,72.85034014,73.55782313,1
75,1.033333333,10.5,1.7,4.8,29.96666667,48.3,11.4,27.3,3.8,9,32.56666667,73.23333333,73.93333333,10,1.5,11.91176471,1.606060606,2.647058824,31.08823529,49.42156863,10.97058824,23.65686275,4.450980392,9.519607843,34.8627451,75.17647059,76.92156863,0
30,1.238095238,11.4047619,4.047619048,7.761904762,29.61904762,43.16666667,13.4047619,33.45238095,3.785714286,7.952380952,31.85714286,74.64285714,74.88095238,44,1.152173913,10.80434783,2.695652174,4.565217391,29.47826087,45.63043478,10.82608696,24.95652174,3.717391304,8.347826087,30.93478261,69.91304348,71.23913043,1
20,1.204081633,10.91836735,2.56122449,3.714285714,28.19387755,45.46938776,12.30612245,26.80612245,3.795918367,8.255102041,31.63265306,71.98979592,72.13265306,35,1.382978723,11.34042553,2.414285714,2.215827338,28.60992908,44.35460993,11.68085106,23.90780142,3.836879433,8.269503546,30.54609929,69.33333333,70.83687943,0
47,1.114285714,10.56190476,1.990291262,3.266666667,27.97142857,46.7047619,10.88571429,23.17142857,3.80952381,8.295238095,31.17142857,70.8952381,70.02857143,130,1.113402062,10.28865979,2.989690722,4.474226804,26.79381443,42.21649485,12.51546392,28.90721649,3.635416667,7.604166667,29.72164948,68.50515464,69.03092784,1
384,0.714285714,9.142857143,0.857142857,3.285714286,24.85714286,44.28571429,11,24.71428571,3.571428571,8.142857143,29.57142857,71.57142857,65.42857143,273,0.619047619,8.857142857,1.857142857,7.142857143,24.52380952,40.95238095,11.42857143,30.23809524,3.523809524,8.333333333,29.04761905,66.33333333,65,0
129,1,9.5,3.5,4,27.5,41.375,10.5,27.75,3.125,7,28.125,66.5,66.125,27,1.233766234,10.99350649,2.961038961,5.305194805,27.6038961,41.87662338,12.40909091,28.87662338,3.818181818,8.064935065,31.0974026,70.74675325,71.11038961,0
202,1,10,3,2.333333333,29,47,11.66666667,24.66666667,3.333333333,7.333333333,32.33333333,74.66666667,73,17,1.397959184,11.64285714,4.742268041,2.918367347,28.19387755,40.04081633,13.36734694,26.7244898,3.367346939,7.540816327,29.01020408,67.87755102,70.65306122,0
73,1.351351351,11.94594595,6.243243243,3.783783784,30,44.24324324,14.21621622,29.81081081,3.675675676,8.891891892,33.02702703,77.2972973,77.24324324,46,1.186440678,10.6440678,1.474576271,4.288135593,24.84745763,41.96610169,13,29.83050847,4.559322034,10.13559322,34.76271186,74.50847458,72.61016949,1
700,1.5,13.5,0.5,4.5,29,51.5,19.5,37,5,11,40.5,86.5,89,45,1.114285714,10.6,1.171428571,2.314285714,27.27142857,46.35714286,11.07142857,22.78571429,3.928571429,8.314285714,31.48571429,70.67142857,69.82857143,0
42,1.132352941,10.57352941,2.088235294,2.470588235,29.08823529,47.94117647,11.05882353,23.98529412,3.529411765,7.867647059,30.63235294,71.89705882,70.80882353,15,1.165680473,10.78106509,3.656804734,4.029585799,26.59763314,40.14792899,12.59763314,28.52071006,3.911242604,8.573964497,31.34911243,70.07692308,70.56804734,1
182,1,9.25,1.25,3.75,26.25,44.25,10.75,22.75,3.25,5.25,24.25,57.5,61.25,138,1.2,10.6,0.8,1.4,26.4,44.2,8.4,19,4.6,11,34.2,73.2,69,0
73,1.125,11,2.791666667,4,26.66666667,43.29166667,14.29166667,31.625,4.25,9.875,34.33333333,75.20833333,75.29166667,46,1.162790698,10.37209302,2.581395349,4.071428571,27.95348837,43.48837209,12.09302326,27.02325581,3.465116279,7.790697674,29.97674419,68.95348837,70.02325581,0
25,1.25,11.47297297,4.175675676,3.790540541,29.91891892,45.60810811,14.18243243,29.72297297,3.452702703,8.405405405,30.99324324,74.22297297,75.09459459,121,1.022222222,10.42222222,3.377777778,4.6,26.57777778,41.15555556,12.75555556,28.66666667,3.466666667,8,29.24444444,69.13333333,68.57777778,1
5,1.455621302,11.93529412,0.864705882,3.735294118,30.10588235,49.25294118,11.41176471,24.82941176,4.670588235,9.758823529,34.15882353,73.10588235,75.67647059,64,1.191176471,10.95588235,3.147058824,6.632352941,24.48529412,38.5,13.66176471,32.54411765,4.632352941,9.455882353,33.88235294,71.86764706,72.02941176,1
